,sku,quantity,servicelevel,productiondays,price,@material,@printing,@size
1412,FL-135G-A6-40,95000,standard,3,559.59,135ggloss,oneside,a6
7211,FL-170G-VM-44,95000,standard,3,1543.0,170ggloss,bothsides,carremedium
7210,FL-170G-VM-44,95000,saver,6,1192.84,170ggloss,bothsides,carremedium
10497,FL-250G-A5-40,95000,standard,2,1819.35,250ggloss,oneside,a5
18030,FL-170G-XL-40,95000,saver,6,1864.83,170ggloss,oneside,xlong
7638,FL-400S-VM-40,95000,standard,4,4101.15,400gsilk,oneside,carremedium
10496,FL-250G-A5-40,95000,saver,6,1598.62,250ggloss,oneside,a5
7637,FL-400S-VM-40,95000,saver,1,2973.79,400gsilk,oneside,carremedium
12545,FL-140H-US-40,95000,saver,6,130.63,140goffset,oneside,us
1694,FL-135S-A7-44,95000,saver,6,276.59,135gsilk,bothsides,a7
12546,FL-140H-US-40,95000,standard,2,137.07,140goffset,oneside,us
20028,FL-400S-VK-40-[ML11],95000,saver,3,3652.63,400gmattlaminatedbothsides,oneside,carresmall
15849,FL-400S-A4-40-[GL11],95000,standard,3,13038.24,400gglosslaminatedbothsides,oneside,a4
16982,FL-400S-A6-40,95000,saver,6,1299.11,400gsilk,oneside,a6
4555,FL-135S-A7-40,95000,saver,6,246.73,135gsilk,oneside,a7
4556,FL-135S-A7-40,95000,standard,2,290.28,135gsilk,oneside,a7
15848,FL-400S-A4-40-[GL11],95000,saver,5,10803.91,400gglosslaminatedbothsides,oneside,a4
4465,FL-170S-A5-44,95000,standard,2,1624.21,170gsilk,bothsides,a5
4464,FL-170S-A5-44,95000,saver,6,1380.59,170gsilk,bothsides,a5
18031,FL-170G-XL-40,95000,standard,3,1958.67,170ggloss,oneside,xlong
774,FL-250G-US-44,95000,standard,2,2217.19,250ggloss,bothsides,us
16263,FL-170H-A7-40,95000,standard,3,670.85,170goffset,oneside,a7
2666,FL-135G-XL-44,95000,standard,3,1513.39,135ggloss,bothsides,xlong
23251,FL-140H-VM-40,95000,saver,6,2198.79,140goffset,oneside,carremedium
12318,FL-400S-A5-40-[GL11],95000,standard,3,6587.28,400gglosslaminatedbothsides,oneside,a5
21661,FL-135G-A7-40,95000,standard,2,290.28,135ggloss,oneside,a7
10722,FL-170H-VK-44,95000,saver,6,866.63,170goffset,bothsides,carresmall
10723,FL-170H-VK-44,95000,standard,3,909.87,170goffset,bothsides,carresmall
7069,FL-170S-VG-44,95000,standard,2,3146.66,170gsilk,bothsides,carrelarge
18796,FL-400S-AL-44,95000,standard,4,3012.99,400gsilk,bothsides,along
18973,FL-250G-A7-44,95000,saver,6,506.87,250ggloss,bothsides,a7
18974,FL-250G-A7-44,95000,standard,2,596.32,250ggloss,bothsides,a7
4777,FL-250G-A4-44,95000,saver,6,3207.34,250ggloss,bothsides,a4
7068,FL-170S-VG-44,95000,saver,6,2674.66,170gsilk,bothsides,carrelarge
21660,FL-135G-A7-40,95000,saver,6,246.73,135ggloss,oneside,a7
10948,FL-170H-VM-44,95000,standard,3,1799.51,170goffset,bothsides,carremedium
12317,FL-400S-A5-40-[GL11],95000,saver,5,5437.27,400gglosslaminatedbothsides,oneside,a5
1165,FL-400S-US-44-[ML11],95000,saver,5,4040.1,400gmattlaminatedbothsides,bothsides,us
7550,FL-170G-VK-44,95000,saver,6,791.13,170ggloss,bothsides,carresmall
18795,FL-400S-AL-44,95000,saver,5,2869.47,400gsilk,bothsides,along
7788,FL-400S-A5-44-[ML11],95000,saver,5,6061.27,400gmattlaminatedbothsides,bothsides,a5
7789,FL-400S-A5-44-[ML11],95000,standard,2,7455.89,400gmattlaminatedbothsides,bothsides,a5
4003,FL-400S-VK-40-[GL11],95000,saver,3,3652.84,400gglosslaminatedbothsides,oneside,carresmall
3947,FL-135G-VG-40,95000,standard,3,1784.65,135ggloss,oneside,carrelarge
10200,FL-170S-A7-40,95000,standard,2,406.59,170gsilk,oneside,a7
3946,FL-135G-VG-40,95000,saver,6,1543.16,135ggloss,oneside,carrelarge
7551,FL-170G-VK-44,95000,standard,3,930.73,170ggloss,bothsides,carresmall
773,FL-250G-US-44,95000,saver,6,1884.61,250ggloss,bothsides,us
10264,FL-135G-VM-44,95000,saver,6,830.83,135ggloss,bothsides,carremedium
23083,FL-250S-VM-44,95000,saver,6,1425.16,250gsilk,bothsides,carremedium
23252,FL-140H-VM-40,95000,standard,2,2309.19,140goffset,oneside,carremedium
21849,FL-400S-VG-44-[ML11],95000,saver,5,11396.01,400gmattlaminatedbothsides,bothsides,carrelarge
21850,FL-400S-VG-44-[ML11],95000,standard,5,12973.94,400gmattlaminatedbothsides,bothsides,carrelarge
11097,FL-250S-VK-40,95000,saver,6,800.39,250gsilk,oneside,carresmall
11098,FL-250S-VK-40,95000,standard,2,839.95,250gsilk,oneside,carresmall
14155,FL-400S-A6-40-[ML11],95000,saver,5,3105.97,400gmattlaminatedbothsides,oneside,a6
23719,FL-140H-US-44,95000,standard,2,137.07,140goffset,bothsides,us
21526,FL-400S-AL-40-[ML11],95000,standard,5,4477.63,400gmattlaminatedbothsides,oneside,along
21525,FL-400S-AL-40-[ML11],95000,saver,5,3959.67,400gmattlaminatedbothsides,oneside,along
23718,FL-140H-US-44,95000,saver,6,130.63,140goffset,bothsides,us
12479,FL-140H-A7-44,95000,standard,2,918.15,140goffset,bothsides,a7
11968,FL-400S-US-40-[GL11],95000,saver,5,3943.73,400gglosslaminatedbothsides,oneside,us
4359,FL-135G-VG-44,95000,standard,3,2090.85,135ggloss,bothsides,carrelarge
4358,FL-135G-VG-44,95000,saver,6,1660.71,135ggloss,bothsides,carrelarge
16664,FL-250G-XL-40,95000,saver,6,2427.87,250ggloss,oneside,xlong
11824,FL-170S-VM-40,95000,standard,2,1448.61,170gsilk,oneside,carremedium
12478,FL-140H-A7-44,95000,saver,6,873.99,140goffset,bothsides,a7
10357,FL-135S-A5-44,95000,standard,2,1104.56,135gsilk,bothsides,a5
3290,FL-400S-VG-44,95000,saver,1,6349.2,400gsilk,bothsides,carrelarge
10356,FL-135S-A5-44,95000,saver,6,938.88,135gsilk,bothsides,a5
11823,FL-170S-VM-40,95000,saver,6,1231.33,170gsilk,oneside,carremedium
10265,FL-135G-VM-44,95000,standard,3,1049.33,135ggloss,bothsides,carremedium
23084,FL-250S-VM-44,95000,standard,2,2149.31,250gsilk,bothsides,carremedium
11969,FL-400S-US-40-[GL11],95000,standard,5,4296.92,400gglosslaminatedbothsides,oneside,us
9914,FL-400S-XL-40-[ML11],95000,standard,5,8904.67,400gmattlaminatedbothsides,oneside,xlong
22310,FL-170H-AL-40,95000,standard,3,1306.39,170goffset,oneside,along
22583,FL-135G-VM-40,95000,saver,6,792.93,135ggloss,oneside,carremedium
2836,FL-250G-AL-40,95000,standard,2,1237.39,250ggloss,oneside,along
5559,FL-170G-VG-44,95000,saver,6,2674.66,170ggloss,bothsides,carrelarge
5560,FL-170G-VG-44,95000,standard,3,3146.66,170ggloss,bothsides,carrelarge
13695,FL-170G-VK-40,95000,standard,3,905.71,170ggloss,oneside,carresmall
2074,FL-400S-A7-40-[GL11],95000,standard,3,3736.92,400gglosslaminatedbothsides,oneside,a7
5582,FL-135S-A5-40,95000,saver,6,902.83,135gsilk,oneside,a5
5583,FL-135S-A5-40,95000,standard,2,1047.14,135gsilk,oneside,a5
13230,FL-400S-US-44,95000,saver,1,3090.9,400gsilk,bothsides,us
13231,FL-400S-US-44,95000,standard,4,3590.65,400gsilk,bothsides,us
2073,FL-400S-A7-40-[GL11],95000,saver,5,1695.41,400gglosslaminatedbothsides,oneside,a7
548,FL-170H-A4-40,95000,standard,3,3696.77,170goffset,oneside,a4
547,FL-170H-A4-40,95000,saver,6,3511.92,170goffset,oneside,a4
9257,FL-170G-US-40,95000,standard,3,1152.1,170ggloss,oneside,us
9256,FL-170G-US-40,95000,saver,6,984.79,170ggloss,oneside,us
9202,FL-135G-A4-40,95000,standard,2,1879.62,135ggloss,oneside,a4
13694,FL-170G-VK-40,95000,saver,6,769.86,170ggloss,oneside,carresmall
17601,FL-250G-A6-44,95000,standard,2,905.83,250ggloss,bothsides,a6
17600,FL-250G-A6-44,95000,saver,6,822.35,250ggloss,bothsides,a6
9201,FL-135G-A4-40,95000,saver,6,1624.38,135ggloss,oneside,a4
20763,FL-400S-US-40,95000,saver,1,3067.69,400gsilk,oneside,us
20764,FL-400S-US-40,95000,standard,4,3567.44,400gsilk,oneside,us
11373,FL-170H-A5-44,95000,saver,6,1685.59,170goffset,bothsides,a5
11374,FL-170H-A5-44,95000,standard,3,1774.3,170goffset,bothsides,a5
14888,FL-170H-VG-40,95000,saver,6,3415.03,170goffset,oneside,carrelarge
16792,FL-140H-A4-40,95000,saver,6,4946.83,140goffset,oneside,a4
16793,FL-140H-A4-40,95000,standard,2,5194.31,140goffset,oneside,a4
18467,FL-250S-A6-44,95000,standard,2,905.83,250gsilk,bothsides,a6
22493,FL-400S-AL-40,95000,standard,4,3012.99,400gsilk,oneside,along
22492,FL-400S-AL-40,95000,saver,5,2869.47,400gsilk,oneside,along
12169,FL-170S-A4-44,95000,saver,6,2815.43,170gsilk,bothsides,a4
3717,FL-250G-A6-40,95000,saver,6,822.35,250ggloss,oneside,a6
2835,FL-250G-AL-40,95000,saver,6,1178.51,250ggloss,oneside,along
15390,FL-400S-A5-44,95000,saver,1,5274.88,400gsilk,bothsides,a5
19616,FL-400S-A7-44,95000,standard,4,1493.97,400gsilk,bothsides,a7
1495,FL-250G-US-40,95000,standard,2,1592.05,250ggloss,oneside,us
19456,FL-140H-VG-44,95000,standard,2,4491.43,140goffset,bothsides,carrelarge
19615,FL-400S-A7-44,95000,saver,5,1422.83,400gsilk,bothsides,a7
17335,FL-400S-A6-40-[GL11],95000,saver,5,3106.16,400gglosslaminatedbothsides,oneside,a6
17336,FL-400S-A6-40-[GL11],95000,standard,5,3668.27,400gglosslaminatedbothsides,oneside,a6
16502,FL-250G-A7-40,95000,standard,2,577.29,250ggloss,oneside,a7
11563,FL-250G-VK-40,95000,standard,2,974.83,250ggloss,oneside,carresmall
8398,FL-170G-A6-44,95000,saver,6,672.72,170ggloss,bothsides,a6
8399,FL-170G-A6-44,95000,standard,3,791.44,170ggloss,bothsides,a6
20621,FL-250S-A4-40,95000,saver,6,3207.34,250gsilk,oneside,a4
20622,FL-250S-A4-40,95000,standard,2,3311.13,250gsilk,oneside,a4
16501,FL-250G-A7-40,95000,saver,6,490.7,250ggloss,oneside,a7
6361,FL-170S-XL-40,95000,standard,2,1990.87,170gsilk,oneside,xlong
18466,FL-250S-A6-44,95000,saver,6,822.35,250gsilk,bothsides,a6
22145,FL-140H-XL-40,95000,saver,6,2651.43,140goffset,oneside,xlong
1280,FL-170G-VG-40,95000,standard,3,3079.63,170ggloss,oneside,carrelarge
1279,FL-170G-VG-40,95000,saver,6,2617.68,170ggloss,oneside,carrelarge
6360,FL-170S-XL-40,95000,saver,6,1864.83,170gsilk,oneside,xlong
11562,FL-250G-VK-40,95000,saver,6,943.57,250ggloss,oneside,carresmall
21150,FL-400S-A4-44-[ML11],95000,standard,2,14645.92,400gmattlaminatedbothsides,bothsides,a4
21149,FL-400S-A4-44-[ML11],95000,saver,5,11995.8,400gmattlaminatedbothsides,bothsides,a4
22584,FL-135G-VM-40,95000,standard,3,1009.04,135ggloss,oneside,carremedium
9913,FL-400S-XL-40-[ML11],95000,saver,5,7869.67,400gmattlaminatedbothsides,oneside,xlong
9400,FL-400S-VK-44,95000,standard,1,1739.94,400gsilk,bothsides,carresmall
9399,FL-400S-VK-44,95000,saver,2,1652.94,400gsilk,bothsides,carresmall
3291,FL-400S-VG-44,95000,standard,4,8728.02,400gsilk,bothsides,carrelarge
12170,FL-170S-A4-44,95000,standard,2,3312.27,170gsilk,bothsides,a4
3718,FL-250G-A6-40,95000,standard,2,828.94,250ggloss,oneside,a6
15391,FL-400S-A5-44,95000,standard,4,5540.37,400gsilk,bothsides,a5
22146,FL-140H-XL-40,95000,standard,2,2783.91,140goffset,oneside,xlong
11406,FL-170S-A4-40,95000,saver,6,2755.46,170gsilk,oneside,a4
11407,FL-170S-A4-40,95000,standard,2,3241.72,170gsilk,oneside,a4
8555,FL-135G-AL-44,95000,saver,6,789.35,135ggloss,bothsides,along
3613,FL-135S-A4-44,95000,saver,6,1870.75,135gsilk,bothsides,a4
15002,FL-250S-VM-40,95000,standard,2,1543.31,250gsilk,oneside,carremedium
17480,FL-400S-A7-44-[ML11],95000,saver,5,1722.17,400gmattlaminatedbothsides,bothsides,a7
17481,FL-400S-A7-44-[ML11],95000,standard,2,3882.77,400gmattlaminatedbothsides,bothsides,a7
9018,FL-170G-A7-40,95000,saver,6,345.61,170ggloss,oneside,a7
16823,FL-170H-A5-40,95000,standard,3,1773.9,170goffset,oneside,a5
