,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Turnaround,PriceExpress,Production Days Express,Express Sku
2026,1000,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Double Sided,,62.7,2,FLY-516-600-653-599-EXPRESS
2034,1000,0.2,A3,170gsm Art Paper Gloss Finish,None,Double Sided,,125.4,1,FLY-419-553-522-705-EXPRESS
2036,1000,0.2,Square 105mm x 105mm,100gsm Premium Smooth White Paper,None,Single Sided,,19.86,2,FLY-704-461-567-565-EXPRESS
2038,1000,0.0,1/3 A4 (DL),170gsm Art Paper Silk Finish,None,Single Sided,,29.79,1,FLY-645-577-696-648-EXPRESS
2039,1000,0.0,A5,350gsm Art Board Silk Finish,None,Double Sided,,83.6,1,FLY-658-565-525-469-EXPRESS
2042,1000,0.2,A7,350gsm Art Board Silk Finish,None,Single Sided,,24.82,1,FLY-473-615-513-661-EXPRESS
2043,1000,0.0,A6,130gsm Art Paper Gloss Finish,None,Single Sided,,20.84,1,FLY-561-661-558-561-EXPRESS
2046,1000,0.2,A3,130gsm Art Paper Silk Finish,None,Single Sided,,79.42,1,FLY-458-559-606-423-EXPRESS
2047,1000,0.0,1/3 A4 (DL),350gsm Art Board Silk Finish,None,Single Sided,,44.67,1,FLY-430-572-561-610-EXPRESS
2048,1000,0.2,Square 105mm x 105mm,120gsm Premium Smooth White Paper,None,Double Sided,,26.12,2,FLY-611-551-613-514-EXPRESS
2049,1000,0.2,A3,170gsm Art Paper Gloss Finish,None,Single Sided,,119.13,1,FLY-466-600-516-467-EXPRESS
2050,1000,0.0,A5,170gsm Art Paper Silk Finish,None,Double Sided,,52.25,1,FLY-564-574-602-511-EXPRESS
2052,1000,0.0,A3,350gsm Art Board Silk Finish,None,Double Sided,,198.55,1,FLY-600-652-559-418-EXPRESS
2053,1000,0.0,1/3 A4 (DL),170gsm Art Paper Gloss Finish,None,Double Sided,,31.35,1,FLY-604-645-568-602-EXPRESS
2054,1000,0.0,A4,350gsm Art Board Silk Finish,None,Single Sided,,138.98,1,FLY-601-547-654-469-EXPRESS
2056,1000,0.2,Square 105mm x 105mm,100gsm Premium Smooth White Paper,None,Double Sided,,20.9,2,FLY-462-558-560-613-EXPRESS
2059,1000,0.2,A3,130gsm Art Paper Silk Finish,None,Double Sided,,83.6,1,FLY-697-609-600-557-EXPRESS
2060,1000,0.0,A4,350gsm Art Board Silk Finish,None,Double Sided,,146.3,1,FLY-475-700-701-515-EXPRESS
2061,1000,0.0,A4,170gsm Art Paper Gloss Finish,None,Single Sided,,84.38,1,FLY-460-464-476-563-EXPRESS
2063,1000,0.0,A5,170gsm Art Paper Gloss Finish,None,Double Sided,,52.25,1,FLY-481-569-514-568-EXPRESS
