,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Turnaround,PriceSaver,Production Days Saver,Saver Sku
142,25,0.0,Square 148mm x 148mm,130gsm Art Paper Gloss Finish,None,Single Sided,,13.72,5,FLY-614-656-453-557-SAVER
143,25,0.0,A6,170gsm Art Paper Gloss Finish,None,Double Sided,,14.44,5,FLY-466-563-520-505-SAVER
144,25,0.0,1/3 A4 (DL),130gsm Art Paper Gloss Finish,None,Single Sided,,13.72,5,FLY-657-602-552-650-SAVER
145,25,0.0,A5,350gsm Recycled Uncoated,None,Single Sided,,20.58,5,FLY-565-606-600-651-SAVER
146,25,0.0,A4,170gsm Art Paper Silk Finish,None,Double Sided,,15.34,5,FLY-529-515-554-610-SAVER
147,25,0.0,Square 210mm x 210mm,300gsm Art Board Coated,None,Single Sided,,15.43,5,FLY-508-612-611-702-SAVER
148,25,0.0,A5,170gsm Art Paper Gloss Finish,None,Double Sided,,14.44,5,FLY-481-569-514-568-SAVER
149,25,0.0,A4,350gsm Art Board Silk Finish,None,Double Sided,,17.15,5,FLY-475-700-701-515-SAVER
150,25,0.2,A4,100gsm Premium Smooth White Paper,None,Single Sided,,15.78,6,FLY-520-565-521-515-SAVER
151,25,0.0,A4,130gsm Art Paper Silk Finish,None,Single Sided,,14.15,5,FLY-699-606-565-557-SAVER
152,25,0.0,Square 105mm x 105mm,170gsm Art Paper Silk Finish,None,Single Sided,,13.72,5,FLY-647-603-648-602-SAVER
153,25,0.0,A5,170gsm Art Paper Gloss Finish,None,Single Sided,,13.72,5,FLY-515-526-479-512-SAVER
154,25,0.0,Square 210mm x 210mm,130gsm Art Paper Gloss Finish,None,Double Sided,,14.9,5,FLY-518-560-458-516-SAVER
155,25,0.0,A7,170gsm Art Paper Silk Finish,None,Double Sided,,13.54,5,FLY-463-599-607-559-SAVER
156,25,0.0,A5,130gsm Art Paper Silk Finish,None,Double Sided,,14.44,5,FLY-548-601-610-618-SAVER
157,25,0.0,A4,130gsm Art Paper Silk Finish,None,Double Sided,,14.9,5,FLY-611-505-479-573-SAVER
158,25,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Single Sided,,14.57,5,FLY-510-623-603-607-SAVER
159,25,0.0,1/3 A4 (DL),300gsm Art Board Coated,None,Double Sided,,16.24,5,FLY-520-756-701-608-SAVER
160,25,0.0,Square 210mm x 210mm,130gsm Art Paper Silk Finish,None,Single Sided,,14.15,5,FLY-548-462-573-566-SAVER
161,25,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Double Sided,,20.76,6,FLY-516-600-653-599-SAVER
162,50,0.0,1/3 A4 (DL),130gsm Art Paper Gloss Finish,None,Single Sided,,14.57,5,FLY-657-602-552-650-SAVER
163,50,0.0,A4,300gsm Art Board Coated,None,Double Sided,,17.15,5,FLY-515-606-707-604-SAVER
164,50,0.0,A7,130gsm Art Paper Silk Finish,None,Double Sided,,13.31,5,FLY-609-553-609-462-SAVER
165,50,0.2,A5,100gsm Premium Smooth White Paper,None,Single Sided,,15.09,6,FLY-498-661-556-469-SAVER
166,50,0.0,A4,350gsm Recycled Uncoated,None,Single Sided,,25.73,5,FLY-569-562-466-614-SAVER
167,50,0.2,A3,120gsm Premium Smooth White Paper,None,Double Sided,,29.78,6,FLY-462-603-607-656-SAVER
169,50,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Single Sided,,15.43,5,FLY-510-623-603-607-SAVER
170,50,0.0,A3,350gsm Recycled Uncoated,None,Double Sided,,44.92,5,FLY-513-549-508-562-SAVER
171,50,0.0,Square 105mm x 105mm,130gsm Art Paper Gloss Finish,None,Double Sided,,14.44,5,FLY-427-575-563-517-SAVER
172,50,0.0,Square 105mm x 105mm,130gsm Art Paper Gloss Finish,None,Single Sided,,13.72,5,FLY-512-620-573-470-SAVER
173,50,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Single Sided,,15.09,6,FLY-520-556-554-566-SAVER
176,50,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Double Sided,,17.15,5,FLY-608-511-549-465-SAVER
177,50,0.2,A4,120gsm Premium Smooth White Paper,None,Double Sided,,22.56,6,FLY-535-606-521-515-SAVER
