,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Price,Turnaround,SKU
1247,400,0.2,Square 210mm x 210mm,100gsm Premium Smooth White Paper,None,Single Sided,34.16,2,FLY-506-518-610-467-EXPRESS
1248,400,0.2,A5,120gsm Premium Smooth White Paper,None,Double Sided,31.35,2,FLY-563-563-578-564-EXPRESS
1249,400,0.2,A7,100gsm Premium Smooth White Paper,None,Double Sided,17.14,2,FLY-519-612-554-521-EXPRESS
1250,400,0.0,Square 105mm x 105mm,170gsm Art Paper Silk Finish,None,Single Sided,20.84,1,FLY-647-603-648-602-EXPRESS
1251,400,0.0,Square 105mm x 105mm,350gsm Recycled Uncoated,None,Double Sided,35.53,1,FLY-610-557-699-506-EXPRESS
1252,400,0.0,1/3 A4 (DL),300gsm Art Board Coated,None,Double Sided,32.4,1,FLY-520-756-701-608-EXPRESS
1253,400,0.0,1/3 A4 (DL),170gsm Art Paper Silk Finish,None,Double Sided,22.99,1,FLY-558-606-515-560-EXPRESS
1254,400,0.0,A4,350gsm Recycled Uncoated,None,Single Sided,74.46,1,FLY-569-562-466-614-EXPRESS
1255,400,0.2,Square 210mm x 210mm,100gsm Premium Smooth White Paper,None,Double Sided,35.95,2,FLY-464-616-515-520-EXPRESS
1256,400,0.0,A6,350gsm Art Board Silk Finish,None,Double Sided,26.12,1,FLY-562-706-529-476-EXPRESS
1257,400,0.0,A6,170gsm Art Paper Gloss Finish,None,Single Sided,20.84,1,FLY-474-708-604-652-EXPRESS
1258,400,0.0,1/3 A4 (DL),350gsm Art Board Silk Finish,None,Double Sided,33.44,1,FLY-565-515-598-512-EXPRESS
1259,400,0.0,Square 210mm x 210mm,350gsm Recycled Uncoated,None,Single Sided,74.46,1,FLY-468-460-461-614-EXPRESS
1260,400,0.0,1/3 A4 (DL),130gsm Art Paper Gloss Finish,None,Double Sided,20.9,1,FLY-693-514-565-564-EXPRESS
1261,400,0.2,A3,120gsm Premium Smooth White Paper,None,Single Sided,79.42,2,FLY-689-461-464-565-EXPRESS
1262,400,0.2,Square 105mm x 105mm,120gsm Premium Smooth White Paper,None,Single Sided,23.09,2,FLY-663-694-473-564-EXPRESS
1263,400,0.0,Square 148mm x 148mm,170gsm Art Paper Gloss Finish,None,Single Sided,33.75,1,FLY-610-608-616-563-EXPRESS
1264,400,0.0,Square 210mm x 210mm,350gsm Art Board Silk Finish,None,Double Sided,94.05,1,FLY-559-497-514-462-EXPRESS
1265,400,0.2,A4,100gsm Premium Smooth White Paper,None,Single Sided,34.16,2,FLY-520-565-521-515-EXPRESS
1266,400,0.0,A7,130gsm Art Paper Silk Finish,None,Double Sided,16.98,1,FLY-609-553-609-462-EXPRESS
1267,400,0.2,A6,100gsm Premium Smooth White Paper,None,Double Sided,19.44,2,FLY-696-612-513-616-EXPRESS
1268,400,0.0,A7,350gsm Recycled Uncoated,None,Single Sided,25.81,1,FLY-460-510-563-650-EXPRESS
1269,400,0.0,Square 105mm x 105mm,170gsm Art Paper Silk Finish,None,Double Sided,21.94,1,FLY-570-470-600-606-EXPRESS
1270,400,0.0,A3,350gsm Art Board Silk Finish,None,Single Sided,119.13,1,FLY-514-561-525-612-EXPRESS
1271,400,0.0,Square 210mm x 210mm,170gsm Art Paper Gloss Finish,None,Single Sided,59.56,1,FLY-506-554-607-507-EXPRESS
1272,400,0.0,1/3 A4 (DL),170gsm Art Paper Silk Finish,None,Single Sided,21.84,1,FLY-645-577-696-648-EXPRESS
1273,400,0.0,A4,350gsm Art Board Silk Finish,None,Single Sided,89.34,1,FLY-601-547-654-469-EXPRESS
1274,400,0.0,A4,350gsm Art Board Silk Finish,None,Double Sided,94.05,1,FLY-475-700-701-515-EXPRESS
1275,400,0.0,Square 105mm x 105mm,300gsm Art Board Coated,None,Double Sided,29.26,1,FLY-519-505-603-518-EXPRESS
1276,400,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Single Sided,47.65,1,FLY-610-562-605-516-EXPRESS
1277,400,0.2,Square 105mm x 105mm,100gsm Premium Smooth White Paper,None,Single Sided,18.47,2,FLY-704-461-567-565-EXPRESS
1278,400,0.2,A4,120gsm Premium Smooth White Paper,None,Single Sided,42.69,2,FLY-606-563-558-465-EXPRESS
1279,400,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Single Sided,28.79,1,FLY-561-556-555-699-EXPRESS
1280,400,0.2,A7,350gsm Art Board Silk Finish,None,Double Sided,21.43,1,FLY-555-651-469-510-EXPRESS
1281,400,0.0,Square 105mm x 105mm,350gsm Art Board Silk Finish,None,Single Sided,24.82,1,FLY-543-472-525-562-EXPRESS
1282,400,0.0,A6,170gsm Art Paper Silk Finish,None,Single Sided,20.84,1,FLY-515-565-509-421-EXPRESS
1283,400,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Single Sided,42.69,2,FLY-601-607-609-608-EXPRESS
1284,400,0.2,A3,130gsm Art Paper Silk Finish,None,Single Sided,54.6,1,FLY-458-559-606-423-EXPRESS
1285,400,0.2,A5,100gsm Premium Smooth White Paper,None,Double Sided,25.08,2,FLY-605-653-555-522-EXPRESS
1286,400,0.0,Square 105mm x 105mm,130gsm Art Paper Gloss Finish,None,Double Sided,19.34,1,FLY-427-575-563-517-EXPRESS
1287,400,0.2,A7,300gsm Art Board Coated,None,Double Sided,20.9,1,FLY-461-565-472-656-EXPRESS
1288,500,0.2,Square 210mm x 210mm,120gsm Premium Smooth White Paper,None,Single Sided,45.67,2,FLY-601-607-609-608-EXPRESS
1289,500,0.2,A3,130gsm Art Paper Silk Finish,None,Double Sided,62.7,1,FLY-697-609-600-557-EXPRESS
1290,500,0.0,1/3 A4 (DL),170gsm Art Paper Gloss Finish,None,Double Sided,25.08,1,FLY-604-645-568-602-EXPRESS
1291,500,0.0,A5,170gsm Art Paper Gloss Finish,None,Double Sided,36.58,1,FLY-481-569-514-568-EXPRESS
1292,500,0.0,A6,350gsm Art Board Silk Finish,None,Double Sided,28.22,1,FLY-562-706-529-476-EXPRESS
1293,500,0.0,Square 210mm x 210mm,450gsm Art Board Silk Finish,None,Single Sided,115.16,1,FLY-451-609-656-609-EXPRESS
1294,500,0.0,Square 210mm x 210mm,350gsm Recycled Uncoated,None,Single Sided,79.42,1,FLY-468-460-461-614-EXPRESS
1295,500,0.0,A6,130gsm Art Paper Gloss Finish,None,Single Sided,18.86,1,FLY-561-661-558-561-EXPRESS
1296,500,0.0,A3,350gsm Art Board Silk Finish,None,Double Sided,135.85,1,FLY-600-652-559-418-EXPRESS
1297,500,0.0,A4,350gsm Art Board Silk Finish,None,Double Sided,104.5,1,FLY-475-700-701-515-EXPRESS
1298,500,0.0,A7,170gsm Art Paper Gloss Finish,None,Double Sided,18.81,1,FLY-510-660-562-561-EXPRESS
1299,500,0.0,1/3 A4 (DL),130gsm Art Paper Gloss Finish,None,Double Sided,22.46,1,FLY-693-514-565-564-EXPRESS
1300,500,0.0,A6,170gsm Art Paper Gloss Finish,None,Double Sided,22.99,1,FLY-466-563-520-505-EXPRESS
1301,500,0.2,Square 105mm x 105mm,120gsm Premium Smooth White Paper,None,Single Sided,23.33,2,FLY-663-694-473-564-EXPRESS
1302,500,0.0,A5,130gsm Art Paper Gloss Finish,None,Double Sided,31.35,1,FLY-606-700-564-563-EXPRESS
1303,500,0.2,A7,350gsm Art Board Silk Finish,None,Double Sided,21.94,1,FLY-555-651-469-510-EXPRESS
1304,500,0.0,1/3 A4 (DL),300gsm Art Board Coated,None,Double Sided,34.48,1,FLY-520-756-701-608-EXPRESS
1305,500,0.2,Square 210mm x 210mm,100gsm Premium Smooth White Paper,None,Double Sided,38.46,2,FLY-464-616-515-520-EXPRESS
1306,500,0.0,Square 105mm x 105mm,300gsm Art Board Coated,None,Single Sided,27.8,1,FLY-698-715-508-600-EXPRESS
1307,500,0.0,Square 105mm x 105mm,130gsm Art Paper Silk Finish,None,Double Sided,19.86,1,FLY-551-516-514-652-EXPRESS
1308,500,0.0,Square 105mm x 105mm,130gsm Art Paper Gloss Finish,None,Single Sided,18.86,1,FLY-512-620-573-470-EXPRESS
1309,500,0.0,A6,350gsm Art Board Silk Finish,None,Single Sided,26.81,1,FLY-605-600-601-606-EXPRESS
1310,500,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Single Sided,24.62,2,FLY-520-556-554-566-EXPRESS
1311,500,0.0,A5,350gsm Art Board Silk Finish,None,Double Sided,54.34,1,FLY-658-565-525-469-EXPRESS
1312,500,0.2,A4,120gsm Premium Smooth White Paper,None,Double Sided,48.07,2,FLY-535-606-521-515-EXPRESS
1313,500,0.0,1/3 A4 (DL),350gsm Recycled Uncoated,None,Double Sided,39.71,1,FLY-620-571-561-469-EXPRESS
1314,500,0.0,Square 148mm x 148mm,170gsm Art Paper Silk Finish,None,Single Sided,34.75,1,FLY-528-569-603-472-EXPRESS
1315,500,0.0,Square 210mm x 210mm,130gsm Art Paper Gloss Finish,None,Double Sided,48.07,1,FLY-518-560-458-516-EXPRESS
1316,500,0.2,A3,130gsm Art Paper Silk Finish,None,Single Sided,59.56,1,FLY-458-559-606-423-EXPRESS
1317,500,0.0,1/3 A4 (DL),170gsm Art Paper Silk Finish,None,Double Sided,25.08,1,FLY-558-606-515-560-EXPRESS
1318,500,0.0,Square 210mm x 210mm,130gsm Art Paper Silk Finish,None,Double Sided,48.07,1,FLY-609-508-560-505-EXPRESS
1319,500,0.0,Square 105mm x 105mm,170gsm Art Paper Gloss Finish,None,Double Sided,22.99,1,FLY-479-705-617-562-EXPRESS
1320,500,0.0,Square 148mm x 148mm,170gsm Art Paper Gloss Finish,None,Single Sided,34.75,1,FLY-610-608-616-563-EXPRESS
1321,500,0.0,A5,170gsm Art Paper Gloss Finish,None,Single Sided,34.75,1,FLY-515-526-479-512-EXPRESS
1322,500,0.0,Square 105mm x 105mm,350gsm Recycled Uncoated,None,Double Sided,37.62,1,FLY-610-557-699-506-EXPRESS
1323,500,0.0,Square 105mm x 105mm,170gsm Art Paper Silk Finish,None,Single Sided,21.84,1,FLY-647-603-648-602-EXPRESS
1324,500,0.2,A3,130gsm Art Paper Gloss Finish,None,Double Sided,62.7,1,FLY-659-662-515-599-EXPRESS
1325,500,0.0,Square 105mm x 105mm,350gsm Recycled Uncoated,None,Single Sided,35.74,1,FLY-649-568-645-610-EXPRESS
1326,500,0.2,A7,350gsm Art Board Silk Finish,None,Single Sided,20.84,1,FLY-473-615-513-661-EXPRESS
1327,500,0.2,A7,100gsm Premium Smooth White Paper,None,Double Sided,17.56,2,FLY-519-612-554-521-EXPRESS
1328,500,0.0,Square 105mm x 105mm,170gsm Art Paper Silk Finish,None,Double Sided,22.99,1,FLY-570-470-600-606-EXPRESS
1329,500,0.0,Square 148mm x 148mm,300gsm Art Board Coated,None,Single Sided,46.66,1,FLY-510-623-603-607-EXPRESS
1330,500,0.0,A7,170gsm Art Paper Gloss Finish,None,Single Sided,17.86,1,FLY-619-694-464-473-EXPRESS
1331,500,0.0,A4,130gsm Art Paper Silk Finish,None,Single Sided,45.67,1,FLY-699-606-565-557-EXPRESS
1332,500,0.2,A7,450gsm Art Board Silk Finish,None,Double Sided,26.12,1,FLY-522-557-558-563-EXPRESS
1333,500,0.0,Square 148mm x 148mm,130gsm Art Paper Gloss Finish,None,Single Sided,29.79,1,FLY-614-656-453-557-EXPRESS
1334,500,0.0,1/3 A4 (DL),300gsm Art Board Coated,None,Single Sided,32.76,1,FLY-646-566-513-514-EXPRESS
