,Quantity,Tax,Size,Paper Type,Lamination,Sides Printed,Turnaround,PriceStandard,Production Days Standard,Standard Sku
51,25,0.0,Square 210mm x 210mm,350gsm Recycled Uncoated,None,Double Sided,,24.7,3,FLY-652-540-557-656-STANDARD
52,25,0.0,Square 210mm x 210mm,300gsm Art Board Coated,None,Double Sided,,17.1,3,FLY-555-609-514-509-STANDARD
53,25,0.0,Square 148mm x 148mm,170gsm Art Paper Gloss Finish,None,Single Sided,,14.44,3,FLY-610-608-616-563-STANDARD
54,25,0.0,Square 148mm x 148mm,130gsm Art Paper Silk Finish,None,Double Sided,,15.2,3,FLY-405-508-523-603-STANDARD
55,25,0.0,Square 148mm x 148mm,350gsm Art Board Silk Finish,None,Double Sided,,16.15,3,FLY-608-511-549-465-STANDARD
56,25,0.0,A6,130gsm Art Paper Gloss Finish,None,Double Sided,,14.25,3,FLY-500-562-558-563-STANDARD
57,25,0.2,A3,300gsm Art Board Coated,None,Single Sided,,20.76,3,FLY-699-516-565-577-STANDARD
58,25,0.0,A5,350gsm Art Board Silk Finish,None,Single Sided,,15.34,3,FLY-567-509-615-698-STANDARD
59,25,0.0,Square 210mm x 210mm,170gsm Art Paper Silk Finish,None,Double Sided,,16.15,3,FLY-506-603-615-609-STANDARD
60,25,0.0,Square 148mm x 148mm,170gsm Art Paper Silk Finish,None,Double Sided,,15.2,3,FLY-521-560-563-701-STANDARD
61,25,0.0,Square 148mm x 148mm,350gsm Recycled Uncoated,None,Double Sided,,22.8,3,FLY-562-514-461-463-STANDARD
62,25,0.0,A5,170gsm Art Paper Silk Finish,None,Single Sided,,14.44,3,FLY-572-515-518-622-STANDARD
63,25,0.0,A6,350gsm Recycled Uncoated,None,Single Sided,,18.05,3,FLY-508-566-562-601-STANDARD
64,25,0.2,A3,170gsm Art Paper Gloss Finish,None,Double Sided,,19.0,3,FLY-419-553-522-705-STANDARD
65,25,0.2,A3,100gsm Premium Smooth White Paper,None,Double Sided,,21.28,4,FLY-653-525-608-523-STANDARD
66,25,0.2,Square 148mm x 148mm,100gsm Premium Smooth White Paper,None,Double Sided,,15.96,4,FLY-512-552-606-524-STANDARD
67,25,0.2,A4,120gsm Premium Smooth White Paper,None,Double Sided,,21.85,4,FLY-535-606-521-515-STANDARD
68,25,0.0,Square 210mm x 210mm,130gsm Art Paper Silk Finish,None,Double Sided,,15.68,3,FLY-609-508-560-505-STANDARD
69,25,0.2,A3,130gsm Art Paper Gloss Finish,None,Double Sided,,17.1,3,FLY-659-662-515-599-STANDARD
70,25,0.0,Square 105mm x 105mm,170gsm Art Paper Gloss Finish,None,Double Sided,,15.2,3,FLY-479-705-617-562-STANDARD
71,25,0.0,A3,350gsm Art Board Silk Finish,None,Double Sided,,21.85,3,FLY-600-652-559-418-STANDARD
72,25,0.0,A5,130gsm Art Paper Gloss Finish,None,Double Sided,,15.2,3,FLY-606-700-564-563-STANDARD
73,25,0.0,A4,130gsm Art Paper Gloss Finish,None,Double Sided,,15.68,3,FLY-527-519-549-523-STANDARD
74,25,0.0,A4,300gsm Art Board Coated,None,Double Sided,,17.1,3,FLY-515-606-707-604-STANDARD
75,25,0.0,1/3 A4 (DL),170gsm Art Paper Silk Finish,None,Double Sided,,16.15,3,FLY-558-606-515-560-STANDARD
76,25,0.2,A5,120gsm Premium Smooth White Paper,None,Single Sided,,18.95,4,FLY-559-465-507-463-STANDARD
77,25,0.0,A5,300gsm Art Board Coated,None,Single Sided,,15.34,3,FLY-466-701-515-519-STANDARD
78,25,0.0,A7,130gsm Art Paper Gloss Finish,None,Double Sided,,13.78,3,FLY-661-510-586-608-STANDARD
79,25,0.0,A5,130gsm Art Paper Silk Finish,None,Single Sided,,14.44,3,FLY-476-519-554-612-STANDARD
80,25,0.0,A6,170gsm Art Paper Silk Finish,None,Double Sided,,15.2,3,FLY-510-649-513-464-STANDARD
81,25,0.0,1/3 A4 (DL),170gsm Art Paper Silk Finish,None,Single Sided,,15.34,3,FLY-645-577-696-648-STANDARD
82,25,0.2,A3,170gsm Art Paper Silk Finish,None,Double Sided,,19.0,3,FLY-459-460-602-517-STANDARD
83,25,0.0,A5,130gsm Art Paper Gloss Finish,None,Single Sided,,14.44,3,FLY-515-610-523-493-STANDARD
84,25,0.2,Square 148mm x 148mm,120gsm Premium Smooth White Paper,None,Double Sided,,19.95,4,FLY-567-666-644-514-STANDARD
85,25,0.0,1/3 A4 (DL),350gsm Art Board Silk Finish,None,Double Sided,,17.1,3,FLY-565-515-598-512-STANDARD
86,25,0.2,Square 210mm x 210mm,100gsm Premium Smooth White Paper,None,Single Sided,,16.61,4,FLY-506-518-610-467-STANDARD
87,25,0.0,A6,130gsm Art Paper Silk Finish,None,Single Sided,,13.54,3,FLY-649-529-558-466-STANDARD
88,25,0.2,A4,100gsm Premium Smooth White Paper,None,Double Sided,,17.48,4,FLY-561-511-476-552-STANDARD
89,25,0.0,A4,350gsm Recycled Uncoated,None,Single Sided,,23.46,3,FLY-569-562-466-614-STANDARD
90,25,0.2,A3,120gsm Premium Smooth White Paper,None,Single Sided,,25.27,4,FLY-689-461-464-565-STANDARD
91,25,0.0,A7,170gsm Art Paper Silk Finish,None,Single Sided,,13.54,3,FLY-553-613-506-657-STANDARD
92,25,0.2,1/3 A4 (DL),120gsm Premium Smooth White Paper,None,Single Sided,,17.15,4,FLY-554-615-567-604-STANDARD
93,25,0.2,A3,300gsm Art Board Coated,None,Double Sided,,21.85,3,FLY-612-568-659-556-STANDARD
94,25,0.0,Square 148mm x 148mm,350gsm Recycled Uncoated,None,Single Sided,,21.66,3,FLY-608-603-467-564-STANDARD
95,25,0.0,A5,170gsm Art Paper Silk Finish,None,Double Sided,,15.2,3,FLY-564-574-602-511-STANDARD
96,25,0.0,A4,170gsm Art Paper Gloss Finish,None,Double Sided,,16.15,3,FLY-507-621-528-659-STANDARD
97,25,0.0,1/3 A4 (DL),350gsm Recycled Uncoated,None,Double Sided,,20.9,3,FLY-620-571-561-469-STANDARD
98,25,0.0,Square 105mm x 105mm,350gsm Recycled Uncoated,None,Double Sided,,19.0,3,FLY-610-557-699-506-STANDARD
