SKU,Product Title,Quantity,Paper Size,Finished Size,Paper Type,Print Type,Turnaround,Print Page Number,Lamination,Cover,Fold Type,Print Orientation,Product Finishing,Cut Type,Sets,VAT Rate,Price £,SpotUV
R1-402748c4c5,Whiteboards,3,A4,A4,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,24.86,None
R1-404fb8f102,Whiteboards,45,A2,A2,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,122.73,None
R1-40b266ff37,Whiteboards,40,A3,A3,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,63.50,None
R1-413b85fcd2,Whiteboards,15,A0,A0,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,178.51,None
R1-41c75c4fcc,Whiteboards,4,A3,A3,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,27.58,None
R1-430892a822,Whiteboards,4,A0,A0,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,67.57,None
R1-43952ead7f,Whiteboards,25,A4,A4,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,35.49,None
R1-43c3404a70,Whiteboards,8,A1,A1,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,56.16,None
R1-43f3d5c1a3,Whiteboards,7,A3,A3,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,31.56,None
R1-4661c8c16e,Whiteboards,5,A4,A4,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,24.78,None
R1-477446ac62,Whiteboards,8,A4,A4,"440mic Write-On, Wipe-Off Staufen",Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,27.39,None
R1-47d24cd1fa,Whiteboards,5,A3,A3,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,28.79,None
R1-489d1e3979,Whiteboards,5,A2,A2,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,37.42,None
R1-4ad7cfea35,Whiteboards,40,A0,A0,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,354.96,None
R1-4ae349ef77,Whiteboards,9,A4,A4,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,28.59,None
R1-4b48abc929,Whiteboards,1,A2,A2,"440mic Write-On, Wipe-Off Staufen",Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,22.68,None
R1-4b57e3322a,Whiteboards,2,A4,A4,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,24.59,None
R1-4bc61cf2eb,Whiteboards,10,A4,A4,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,28.54,None
R1-4bf1837059,Whiteboards,3,A1,A1,"440mic Write-On, Wipe-Off Staufen",Single Sided,1 Working Day,N/A,No Lamination,,Flat,N/A,None,Square Cut,,20,34.66,None
