SKU,Product Title,Quantity,Paper Size,Finished Size,Paper Type,Print Type,Turnaround,Print Page Number,Lamination,Cover,Fold Type,Print Orientation,Product Finishing,Cut Type,Sets,VAT Rate,Price £,SpotUV
R1-00e6ef2dea,Foam Signs,6,A3,A3,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,5 Sets,20,194.91,None
R1-00e9492ee8,Foam Signs,6,A3,A3,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,6 Sets,20,222.92,None
R1-00e9d30a2c,Foam Signs,9,A0,A0,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,3 Sets,20,691.67,None
R1-00f0d87429,Foam Signs,3,A0,A0,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,13 Sets,20,1241.47,None
R1-00f6adbc7f,Foam Signs,15,A0,A0,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,4 Sets,20,1547.75,None
R1-00f770736a,Foam Signs,5,A2,A2,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,6 Sets,20,280.82,None
R1-0102a62cd7,Foam Signs,7,A3,A3,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,3 Sets,20,142.54,None
R1-0106a9e695,Foam Signs,8,A0,A0,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,13 Sets,20,2220.85,None
R1-010b87ad4b,Foam Signs,2,A2,A2,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,10 Sets,20,277.73,None
R1-010df18133,Foam Signs,40,A0,A0,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,5 Sets,20,3604.92,None
R1-01168071b2,Foam Signs,30,A0,A0,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Radius Corners,7 Sets,20,4948.62,None
R1-01191a9765,Foam Signs,9,A3,A3,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,8 Sets,20,374.84,None
R1-011bd2ae26,Foam Signs,8,A1,A1,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,11 Sets,20,1015.16,None
R1-011ea6b266,Foam Signs,35,A2,A2,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Radius Corners,1 Set,20,213.5,None
R1-011fd97b6a,Foam Signs,10,A3,A3,5mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,14 Sets,20,766.12,None
R1-0121a46750,Foam Signs,20,A2,A2,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,13 Sets,20,1722.06,None
R1-012296b2f3,Foam Signs,50,A2,A2,3mm White Foam PVC,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,7 Sets,20,1489.54,None
R1-012e8b51a9,Foam Signs,35,A3,A3,5mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,CAD Cut Square,4 Sets,20,621.66,None
R1-0133ff86a7,Foam Signs,2,A3,A3,3mm White Foam PVC,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,Drilled,CAD Cut Square,12 Sets,20,324.36,None
