SKU,Product Title,Quantity,Paper Size,Finished Size,Paper Type,Print Type,Turnaround,Print Page Number,Lamination,Cover,Fold Type,Print Orientation,Product Finishing,Cut Type,Sets,VAT Rate,Price £,SpotUV
R1-158b469502,Magnetic Signs,4,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,13 Sets,20,719.20,None
R1-15e583d602,Magnetic Signs,5,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,9 Sets,20,1112.48,None
R1-1633e6a903,Magnetic Signs,9,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,3 Sets,20,548.70,None
R1-163e696bc0,Magnetic Signs,7,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,13 Sets,20,1680.91,None
R1-1669516cb4,Magnetic Signs,4,A1,A1,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,1 Set,20,102.30,None
R1-1693654b3a,Magnetic Signs,8,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,15 Sets,20,1384.24,None
R1-1694aa236f,Magnetic Signs,6,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,15 Sets,20,1569.75,None
R1-16cb4e7886,Magnetic Signs,9,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,12 Sets,20,1720.80,None
R1-1723fe7533,Magnetic Signs,5,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,2 Sets,20,141.57,None
R1-174576a89c,Magnetic Signs,10,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,8 Sets,20,1248.15,None
R1-17566768ea,Magnetic Signs,8,A3,A3,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,2 Sets,20,188.76,None
R1-1758780232,Magnetic Signs,10,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,3-4 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,10 Sets,20,1562.15,None
R1-17aa0fa261,Magnetic Signs,4,A2,A2,0.85 Gloss White Magnetic Vinyl,Single Sided,2 Working Days,,No Lamination,,,Long Edge Bound,None,Square Cut,9 Sets,20,777.76,None
