SKU,Product Title,Quantity,Paper Size,Finished Size,Paper Type,Print Type,Turnaround,Print Page Number,Lamination,Cover,Fold Type,Print Orientation,Product Finishing,Cut Type,Sets,VAT Rate,Price £,SpotUV
R1-04239185bf,Correx® by Corplex,9,A4,A4,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,11 Sets,20,295.58,None
R1-043d662271,Correx® by Corplex,25,A0,A0,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,2 Sets,20,377.32,None
R1-0456ee8537,Correx® by Corplex,2,A0,A0,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,6 Sets,20,205.27,None
R1-046381c625,Correx® by Corplex,20,A3,A3,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,1 Set,20,33.97,None
R1-046d237d67,Correx® by Corplex,6,A1,A1,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,15 Sets,20,480.98,None
R1-046f895577,Correx® by Corplex,25,A4,A4,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,10 Sets,20,371.15,None
R1-0470eeb692,Correx® by Corplex,10,A4,A4,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,9 Sets,20,251.67,None
R1-048ef6674f,Correx® by Corplex,9,A3,A3,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,9 Sets,20,252.34,None
R1-04ced95b81,Correx® by Corplex,1,A2,A2,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,15 Sets,20,302.35,None
R1-051261addb,Correx® by Corplex,35,A0,A0,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,4 Sets,20,1000.30,None
R1-0513d57309,Correx® by Corplex,1,A2,A2,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,15 Sets,20,274.86,None
R1-0520e971d5,Correx® by Corplex,15,A4,A4,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,15 Sets,20,454.65,None
R1-053064cbf8,Correx® by Corplex,2,A0,A0,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,8 Sets,20,273.81,None
R1-05380f4cd4,Correx® by Corplex,6,A4,A4,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,13 Sets,20,277.75,None
R1-053d160700,Correx® by Corplex,9,A4,A4,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,12 Sets,20,293.25,None
R1-0560b3c3df,Correx® by Corplex,25,A4,A4,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,4 Sets,20,147.34,None
R1-05a4cd4a22,Correx® by Corplex,35,A0,A0,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,14 Sets,20,3211.56,None
R1-05c528238c,Correx® by Corplex,6,A2,A2,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,8 Sets,20,221.67,None
R1-05cf451a2a,Correx® by Corplex,25,A0,A0,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,8 Sets,20,1538.32,None
R1-05d2ae8557,Correx® by Corplex,3,A3,A3,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,12 Sets,20,244.36,None
R1-05ead3ce3a,Correx® by Corplex,3,A1,A1,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,5 Sets,20,117.38,None
R1-05ffdd0bd2,Correx® by Corplex,8,A0,A0,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,14 Sets,20,998.93,None
R1-0614e59d8f,Correx® by Corplex,15,A1,A1,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,5 Sets,20,301.07,None
R1-06169a7057,Correx® by Corplex,9,A4,A4,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,10 Sets,20,244.17,None
R1-0632c3dcb2,Correx® by Corplex,40,A3,A3,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,12 Sets,20,519.05,None
R1-0645656d96,Correx® by Corplex,10,A1,A1,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,10 Sets,20,466.32,None
R1-0652cd4dc4,Correx® by Corplex,20,A1,A1,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,3-4 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,12 Sets,20,964.06,None
R1-066147dc28,Correx® by Corplex,2,A4,A4,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,13 Sets,20,261.46,None
R1-0665eec5a6,Correx® by Corplex,50,A0,A0,3.5mm White Fluted CorrexÂ® by Corplex,Single Sided,2 Working Days,,No Lamination,,Flat,N/A,None,Square Cut,1 Set,20,360.57,None
