SKU,Product Title,Quantity,Paper Size,Finished Size,Paper Type,Print Type,Turnaround,Print Page Number,Lamination,Cover,Fold Type,Print Orientation,Product Finishing,Cut Type,Sets,VAT Rate,Price £,SpotUV
R1-1492fa3221,Display Board,25,A3,A3,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,12 Sets,20,613.95,None
R1-14d060dac5,Display Board,4,A3,A3,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,6 Sets,20,185.62,None
R1-15410fb27b,Display Board,15,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,13 Sets,20,1914.04,None
R1-15603609c7,Display Board,40,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,10 Sets,20,1804.22,None
R1-15b8e37612,Display Board,50,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,15 Sets,20,3455.42,None
R1-15fa3cdbd8,Display Board,3,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,10 Sets,20,450.44,None
R1-1642e3c6f1,Display Board,20,A1,A1,2000mic Display Board,Single Sided,2 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,11 Sets,20,2211.95,None
R1-1768f2b750,Display Board,30,A2,A2,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,15 Sets,20,1423.36,None
R1-17aaf421db,Display Board,2,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,1 Set,20,38.87,None
R1-17eb876985,Display Board,3,A3,A3,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,15 Sets,20,446.99,None
R1-17f63bd924,Display Board,1,A2,A2,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,2 Sets,20,37.96,None
R1-18277012f3,Display Board,50,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,4 Sets,20,912.97,None
R1-1875793880,Display Board,2,A3,A3,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,1 Set,20,30.23,None
R1-18be575055,Display Board,5,A3,A3,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,8 Sets,20,254.75,None
R1-18cc70467b,Display Board,20,A2,A2,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,3 Sets,20,187.89,None
R1-18cee5743f,Display Board,20,A1,A1,2000mic Display Board,Single Sided,3-4 Working Days,N/A,No Lamination,,Flat,N/A,None,Square Cut,9 Sets,20,1643.58,None
